WAGON_TYPE,CATEGORY
ACT1,ACT1
BCACBM,BCACBM
BCBFG,BCBFG
BCFCM,BCFCM
BCN,JUMBO
BCNAHSM1,JUMBO
BCNAHSM2,JUMBO
BCNHL,JUMBO
BCNM,JUMBO
BFK,CONT
BFKN,CONT
BFNS,SHRA
BFNS22.9,SHRA
BFNSM,SHRA
BFNSM1,SHRA
BFNV,SHRA
BKI,CONT
BLC,CONT
BLL,CONT
BLLM,CONT
BLSS,CONT
BOSM,SHRA
BOST,SHRA
BOXK,CONT
BOXN,BOX
BOXNEL,BOX
BOXNER,BOX
BOXNHL,BOX
BOXNHL25T,BOX
BOXNR,BOX
BOXNS,BOX
BRN,SHRA
BRN22.9,SHRA
BROO,HYNL
BTPLN,BTPN
BTPG,BTPG
BTPGN,BTPG
BTPN,BTPN
MYLY,MYLY
NMG,NMG
NMGHS,NMG
SHRA,SHRA
SHRN,SHRA
