MA4 TRAINWISE INTERCHANGE
[  Zone: WR,  DateFrom: 05-06-2025,  DateTo: 05-06-2025,  Gauge: BG,;  TakenOver: 166=177+0;  HandedOver: 160=172+0;  HandedOverCc8Cont: 120;  HandedOverCc6Cont: 10;  TakenOverCc8Cont: 119;  TakenOverCc6Cont: 7 ]
"DATE","ZONE FROM","ZONE TO","IC STTN","TAKEN OVER SR.NO.","TAKEN OVER DRTN","TAKEN OVER STTN FROM","TAKEN OVER DVSN FROM","TAKEN OVER ZONE FROM","TAKEN OVER STTN TO","TAKEN OVER DVSN TO","TAKEN OVER ZONE TO","TAKEN OVER OWNR","TAKEN OVER LOAD NAME","TAKEN OVER L/E","TAKEN OVER CMDT","TAKEN OVER CNSR","TAKEN OVER CNSG","TAKEN OVER TYPE","TAKEN OVER MULTIDSTN DVSN(DSTN)","TAKEN OVER MULTIDSTN UNITS","TAKEN OVER DS","TAKEN OVER 8W(L)","TAKEN OVER 8W(E)","TAKEN OVER 8W(BV)","TAKEN OVER TOTL(8W)","TAKEN OVER OWNG","TAKEN OVER LOCO","TAKEN OVER LOCO TYPE","TAKEN OVER LOCO UNTS","TAKEN OVER LOCO HRP","TAKEN OVER TIME","TAKEN OVER CC+6","TAKEN OVER CC+8","TAKEN OVER RAKEID","TAKEN OVER TWIN PIPE","TAKEN OVER CTGR","TAKEN OVER EXAM TYPE","TAKEN OVER TONNAGE(in Tonnes)","TAKEN OVER LDNG DATE","HANDED  OVER INTERCHANGE POINT STATION","HANDED  OVER INTERCHANGE POINT DIVISION","HANDED  OVER INTERCHANGE POINT ZONE","HANDED OVER SR.NO.","TAKEN OVER INTERCHANGE  POINT STATION","TAKEN OVER INTERCHANGE  POINT DIVISION","TAKEN OVER INTERCHANGE  POINT ZONE","HANDED OVER DRTN","HANDED OVER STTN FROM","HANDED OVER DVSN FROM","HANDED OVER ZONE FROM","HANDED OVER STTN TO","HANDED OVER DVSN TO","HANDED OVER ZONE TO","HANDED OVER OWNR","HANDED OVER LOAD NAME","HANDED OVER L/E","HANDED OVER CMDT","HANDED OVER CNSR","HANDED OVER CNSG","HANDED OVER TYPE","HANDED OVER MULTIDSTN DVSN(DSTN)","HANDED OVER MULTIDSTN UNITS","HANDED OVER DS","HANDED OVER 8W(L)","HANDED OVER 8W(E)","HANDED OVER 8W(BV)","HANDED OVER TOTL(8W)","HANDED OVER OWNG","HANDED OVER LOCO","HANDED OVER LOCO TYPE","HANDED OVER LOCO UNTS","HANDED OVER LOCO HRP","HANDED OVER TIME","HANDED OVER CC+6","HANDED OVER CC+8","HANDED OVER RAKEID","HANDED OVER TWIN PIPE","HANDED OVER CTGR","HANDED OVER EXAM TYPE","HANDED OVER TONNAGE(in Tonnes)","HANDED OVER LDNG DATE",
"05-06-2025","WR","CR","BSR","10","KYN","JNPT","BB","CR","CGPT","RTM","WR","CONR","SNF-R-=721","L","CONT","CONR","CONR","BLC","","","N","40","0","1","40.0+1.0","WR","44024","WAG9HC","SU","S","07:54","","Y","CSTN091124024454","Y","C","Valid CC","1690.37","19:00 04-06-25","SJN","WDFC","DFCR","11","SAH","WDFC","DFCR","KYN","IOCG","AGRA","NC","MIOJ","BB","CR","CONR","KAZIRANGA-13[B]","L","FOIL","IOC","IOC","BTPN","","","N","50","0","2","50.0+2.0","CR","43599","WAG9HC","MU","S","11:39","","Y","NJPT140425153954","N","C","Valid CC","2717.25","19:00 04-06-25",
"05-06-2025","WR","CR","BSR","11","KYN","JNPT","BB","CR","AFAS","BCT","WR","ADIL","AFAS/JNPT7AD23","L","CONT","ADIL","ADIL","BLC","","","N","45","0","0","45.0+0.0","NR","41953","WAG9HC","SU","S","09:26","","Y","AFAS201124090526","Y","C","Valid CC","1759.38","14:05 04-06-25","","","","","","","","","","","NC","","","CR","","","","","","","","","","","","","","","CR","43618","WAG9HC","MU","S","","","","","N","","","","",
"05-06-2025","WR","CR","BSR","12","KYN","JNPT","BB","CR","AFAS","BCT","WR","APSE","ADANI-114-AD22","L","CONT","ADIL","ADIL","BLC","","","N","45","0","1","45.0+1.0","ER","38316","WAG9HC","SU","S","11:20","","Y","SMYD100624212346","Y","C","Valid CC","1949.32","14:00 04-06-25","","","","12","","","","KYN","BOR","BCT","WR","JNPT","BB","CR","APSE","NTSJ-07-","L","CONT","ADIL","ADIL","BLC","","","N","45","0","1","45.0+1.0","WR","41706","WAG9HC","SU","D","11:46","","Y","SMYD170623203600","Y","C","Valid CC","990.69","14:00 04-06-25",
"05-06-2025","WR","CR","BSR","13","KYN","JNPT","BB","CR","CCMP","BPL","WC","CONR","CONCOR-C-MDDP701","L","CONT","CONR","CONR","BLC","","","N","45","0","1","45.0+1.0","WR","33279","WAG9HC","SU","S","11:38","","Y","CCJS270325125440","Y","C","Valid CC","1302","23:30 03-06-25","SHRN","BPL","WC","13","SAH","WDFC","DFCR","KYN","MKPP","PRYJ","NC","JNPT","BB","CR","CONR","PLPC-55-","L","CONT","PMLP","PMLP","BLL","","","N","44","1","1","45.0+1.0","EC","38040","WAG9HC","SU","N","11:46","","Y","JUDW051224220318","Y","C","Valid CC","988.83","23:30 03-06-25",
"05-06-2025","WR","CR","BSR","14","KYN","JNPT","BB","CR","PCPK","NGP","CR","CONR","ICDD/ICDY-725","L","CONT","CONR","CONR","BLC","","","N","45","0","0","45.0+0.0","NR","32636","WAG9HC","SU","S","12:31","","Y","GMC 290224154744","Y","C","Valid CC","1975.84","23:40 04-06-25","JL","BSL","CR","14","SJN","WDFC","DFCR","KYN","MGG","RTM","WR","ED","SA","SR","CONR","ED/MGG","L","DOC","PFLD","PFLD","BCN","","","N","21","21","0","42.0+0.0","NC","33107","WAG9H","SU","S","12:00","","Y","MLDT071224025918","N","P","Premium Due","1249","23:40 04-06-25",
"05-06-2025","WR","CR","BSR","15","KYN","JSWD","BB","CR","BOR","BCT","WR","JSWT","JSWD-3-","L","IS","JSWT","JSWK","BFNV","","","N","58","0","0","58.0+0.0","CR","23490","WAG5T","MU","N","13:41","","Y","MJMK040723165618","Y","C","Intensive","3013.23","12:50 04-06-25","","","","","","","","","","","WR","","","SR","","","","","","","","","","","","","","","NW","70148","WDG4","SU","N","","","","","N","","","","",
"05-06-2025","WR","CR","BSR","","","","","CR","","","WR","","","","","","","","","","","","","","","CR","23593","WAG5T","MU","N","","","","","Y","","","","","","","","15","","","","KYN","GVD","BCT","WR","MBPP","BB","CR","JSWT","HAPA-MBPP","E","","","","BTPG","","","N","0","33","0","33.0+0.0","NF","38430","WAG9HC","SU","N","12:40","","","KTTY010625201744","Y","","Intensive","0","12:50 04-06-25",
"05-06-2025","WR","CR","BSR","16","KYN","MBPP","BB","CR","LPBP","UMB","NR","BPC","BHARAT-03-LPBP","L","LPG","BPC","BPC","BTPG","","","N","26","2","1","28.0+1.0","NR","28077","WAG7","SU","N","14:26","","Y","KTTY070623213642","Y","C","Valid CC","977.6","19:30 04-06-25","BSR","BB","CR","16","","","","KYN","AFAS","BCT","WR","JNPT","BB","CR","BPC","NTSJ-","L","CONT","ADIL","ADIL","BLC","","","N","40","0","0","40.0+0.0","EC","41002","WAG9HC","SU","N","12:47","","Y","KTTW180323210114","Y","C","Valid CC","988.16","19:30 04-06-25",
"05-06-2025","WR","CR","BSR","17","KYN","UD","KAWR","KR","BRCY","BRC","WR","IR","UD/BCNE","E","","","","BCN","","","N","0","42","1","42.0+1.0","WC","38382","WAG9HC","SU","N","14:44","","","TPGY060525164718","N","P","Invalid Premium","0","","SAH","WDFC","DFCR","17","","","","KYN","AML","BCT","WR","DBU","SBC","SW","IR","CPN-DBU","L","AUTO","SHLA","SHLA","NMG","","","N","25","0","0","25.0+0.0","SC","32462","WAG9HC","SU","N","13:10","","Y","BEN 060425165944","N","P","Valid Premium","153.6","",
"05-06-2025","WR","CR","BSR","18","KYN","NGSM","BB","CR","BRCY","BRC","WR","IR","NGSM/BSR","E","","","","BCN","","","N","0","42","1","42.0+1.0","CR","60294","WAG12B","SU","D","15:45","","","KEBG041124202928","N","P","Invalid Premium","0","","SJN","WDFC","DFCR","18","SAH","WDFC","DFCR","KYN","MSIB","ADI","WR","NDV","SBC","SW","IR","MSIB-NDV","L","AUTO","MSIL","MSIL","NMG","","","N","23","1","0","24.0+0.0","NR","43462","WAG9HC","SU","S","13:56","","Y","BEN 300523174408","N","","Intensive","95","",
