MA4 TRAINWISE INTERCHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[  Zone: WR,  DateFrom: 03-01-2026,  DateTo: 03-01-2026,  Gauge: BG,;  TakenOver: 197=233+0;  HandedOver: 185=217+0;  HandedOverCc8Cont: 147;  HandedOverCc6Cont: 11;  TakenOverCc8Cont: 137;  TakenOverCc6Cont: 7 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,ZONE FROM,ZONE TO,IC STTN,TAKEN OVER SR.NO.,TAKEN OVER DRTN,TAKEN OVER STTN FROM,TAKEN OVER DVSN FROM,TAKEN OVER ZONE FROM,TAKEN OVER STTN TO,TAKEN OVER DVSN TO,TAKEN OVER ZONE TO,TAKEN OVER OWNR,TAKEN OVER LOAD NAME,TAKEN OVER L/E,TAKEN OVER CMDT,TAKEN OVER CNSR,TAKEN OVER CNSG,TAKEN OVER TYPE,TAKEN OVER MULTIDSTN DVSN(DSTN),TAKEN OVER MULTIDSTN UNITS,TAKEN OVER DS,TAKEN OVER 8W(L),TAKEN OVER 8W(E),TAKEN OVER 8W(BV),TAKEN OVER TOTL(8W),TAKEN OVER OWNG,TAKEN OVER LOCO,TAKEN OVER LOCO TYPE,TAKEN OVER LOCO UNTS,TAKEN OVER LOCO HRP,TAKEN OVER TIME,TAKEN OVER CC+6,TAKEN OVER CC+8,TAKEN OVER RAKEID,TAKEN OVER TWIN PIPE,TAKEN OVER CTGR,TAKEN OVER EXAM TYPE,TAKEN OVER TONNAGE(in Tonnes),TAKEN OVER LDNG DATE,TAKEN OVER SCHEME CODE,HANDED  OVER INTERCHANGE POINT STATION,HANDED  OVER INTERCHANGE POINT DIVISION,HANDED  OVER INTERCHANGE POINT ZONE,HANDED OVER SR.NO.,TAKEN OVER INTERCHANGE  POINT STATION,TAKEN OVER INTERCHANGE  POINT DIVISION,TAKEN OVER INTERCHANGE  POINT ZONE,HANDED OVER DRTN,HANDED OVER STTN FROM,HANDED OVER DVSN FROM,HANDED OVER ZONE FROM,HANDED OVER STTN TO,HANDED OVER DVSN TO,HANDED OVER ZONE TO,HANDED OVER OWNR,HANDED OVER LOAD NAME,HANDED OVER L/E,HANDED OVER CMDT,HANDED OVER CNSR,HANDED OVER CNSG,HANDED OVER TYPE,HANDED OVER MULTIDSTN DVSN(DSTN),HANDED OVER MULTIDSTN UNITS,HANDED OVER DS,HANDED OVER 8W(L),HANDED OVER 8W(E),HANDED OVER 8W(BV),HANDED OVER TOTL(8W),HANDED OVER OWNG,HANDED OVER LOCO,HANDED OVER LOCO TYPE,HANDED OVER LOCO UNTS,HANDED OVER LOCO HRP,HANDED OVER TIME,HANDED OVER CC+6,HANDED OVER CC+8,HANDED OVER RAKEID,HANDED OVER TWIN PIPE,HANDED OVER CTGR,HANDED OVER EXAM TYPE,HANDED OVER TONNAGE(in Tonnes),HANDED OVER LDNG DATE,HANDED OVER SCHEME CODE
03-01-2026,WR,CR,JL,2,NDB,JNCS,DHN,EC,TPHS,BCT,WR,IR,PRM-5136,L,PHC,NCL,GSEC,BOXN,,,N,57,2,1,59.0+1.0,WR,43569,WAG9HC,SU,S,01:35,,Y,ADTP060825043432,N,P,Valid Premium,3977.4,09:15 31-12-25,,,,,2,,,,NDB,AEMD,BCT,WR,BSL,BSL,CR,CONR,PM-50833-,E,,,,BOXNHL,,,N,0,59,1,59.0+1.0,CR,60303,WAG12B,SU,D,01:55,,,BLEY200825222051,N,P,Invalid Premium,0,23:55 01-01-26,
03-01-2026,WR,CR,JL,3,NDB,KMKA,BSP,SEC,JPGN,BCT,WR,IR,PEE5946-JPGN,L,PHC,SECL,JNDP,BOXN,,,N,59,0,1,59.0+1.0,NC,32635,WAG9H,SU,S,04:50,,Y,BZA 160825201212,N,P,Valid Premium,4118.35,14:40 30-12-25,,,,,3,,,,NDB,JNPT,BB,CR,CCMP,BPL,WC,CONR,MDCC-JS-=745,L,CONT,CONR,CONR,BLC,,,N,40,0,0,40.0+0.0,NF,33545,WAG9HC,SU,N,03:35,,Y,ICDD250924162946,Y,C,Valid CC,1110.01,12:40 03-01-26,
03-01-2026,WR,CR,JL,4,NDB,PALB,NGP,CR,JNPT,BB,CR,APSE,PALB-AD/111,L,CONT,ADIL,ADIL,BLC,,,N,45,0,1,45.0+1.0,WC,42569,WAG9HC,SU,S,10:46,,Y,PALB170925113334,Y,C,Valid CC,2423.66,23:40 01-01-26,,,,,4,,,,NDB,PPSP,BVC,WR,MTDI,NED,SC,IR,SATHL-TP-133,L,IMFT,RCF,RCF,BCNHL,"NED(MTDI,PBN)",29+29,N,58,0,1,58.0+1.0,SE,31906,WAG9H,MU,N,05:03,,Y,STA 290325111848,Y,C,Valid CC,3352.4,04:40 29-12-25,
03-01-2026,WR,CR,JL,5,NDB,BIA,R,SEC,SBTG,ADI,WR,IR,LOHA-BRN3-SBTG,L,RMC,RAIL,RAIL,BRN,,,N,42,0,1,42.0+1.0,NC,27447,WAG7,SU,S,16:36,,Y,BSPC270923222800,Y,C,Valid CC,2029.8,,,,,,,,,,,,,WR,,,SC,,,,,,,,,,,,,,,SE,43123,WAG9HC,MU,N,,,,,Y,,,,,
03-01-2026,WR,CR,JL,,,,,SEC,,,WR,,,,,,,,,,,,,,,WR,49322,WDG4G,SU,N,,,,,Y,,,,,,,,,5,,,,NDB,JNPT,BB,CR,DLIB,NGP,CR,IR,DLI-011CRRS02,L,CONT,CRRS,CRRS,BLC,,,N,40,0,1,40.0+1.0,EC,31532,WAG9H,SU,S,05:30,,Y,DLIB120924112542,N,C,Valid CC,1672.64,14:40 30-12-25,
03-01-2026,WR,CR,JL,6,NDB,CCMP,BPL,WC,JNPT,BB,CR,CONR,R=56H-,L,CONT,CONR,CONR,BLC,,,N,45,0,0,45.0+0.0,WR,43548,WAG9HC,SU,S,18:25,,Y,TICD031025220459,Y,C,Valid CC,1180.07,16:00 02-01-26,,,,,6,,,,NDB,NDB,BCT,WR,ICDW,SBC,SW,APSE,GT-07-,L,CONT,CONR,CONR,BLC,,,N,45,0,0,45.0+0.0,WR,60577,WAG12B,SU,N,06:15,,Y,TICD231225164826,Y,C,Valid CC,2763,23:40 01-01-26,
03-01-2026,WR,CR,JL,7,NDB,TPSK,BSP,SEC,KEBG,BCT,WR,CONR,CONCOR-C-117-KEB,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,EC,43279,WAG9,SU,S,19:42,,Y,CCJS120725143633,Y,C,Valid CC,2391.4,22:00 30-12-25,,,,,7,,,,NDB,LKKD,BCT,WR,HIMB,JBP,WC,IR,AFAS/JNPT7-,L,CONT,ADIL,ADIL,BLC,,,N,45,0,0,45.0+0.0,WC,51015,EF9K,SU,S,11:40,,Y,AFAS201124090526,Y,C,Valid CC,207,,
03-01-2026,WR,CR,JL,8,NDB,NSPN,RTM,WR,CHM,BCT,WR,KRIL,KRIL-21,L,CONT,DPWR,DPWR,BLC,,,N,45,0,1,45.0+1.0,CR,60431,WAG12B,SU,D,20:22,,Y,MKIG111124102248,Y,C,Valid CC,2984.9,22:50 02-01-26,,,,,8,,,,NDB,CUE,BCT,WR,EOLD,NGP,CR,IR,SAYAJI-50[WO,L,MIXD,NERL,NERL,BTPN,,,N,50,0,2,50.0+2.0,WR,31859,WAG9HC,SU,D,12:10,,Y,KRCA141025204338,N,C,Valid CC,2511.05,,
03-01-2026,WR,CR,JL,9,NDB,C,CPT,CPT,JNPT,BB,CR,GIPL,PMLP-07-=DOCK,L,CONT,PMLP,PMLP,BLC,,,N,44,1,0,45.0+0.0,ER,38639,WAG9HC,SU,N,22:06,,Y,NHYD270425160031,Y,C,Valid CC,1195.05,,,JL,BSL,CR,9,,,,NDB,AEMD,BCT,WR,BSL,BSL,CR,CONR,TPDDU1831-,E,,,,BOXNHL,,,N,0,57,1,57.0+1.0,SW,38380,WAG9HC,MU,N,13:07,,,DDU 041225023858,Y,C,Valid CC,0,16:00 02-01-26,
03-01-2026,WR,CR,JL,10,NDB,RGTM,NGP,CR,UNGU,BCT,WR,IR,UNGU,L,CEMT,RECC,RECC,BCN,"BCT(BL,UNGU)",10+32,N,42,0,1,42.0+1.0,NC,27474,WAG7,SU,S,23:14,,Y,DSN 270825201117,N,P,Invalid Premium,2765.2,22:35 31-12-25,,,,,,,,,,,,WR,,,CR,,,,,,,,,,,,,,,SW,43315,WAG9HC,MU,N,,,,,Y,,,,,
03-01-2026,WR,CR,JL,11,NDB,OKSR,BSP,SEC,AEMD,BCT,WR,IR,VIRAT-92-AEMD,L,PHC,SECL,ADEM,BOXNS,,,N,59,0,0,59.0+0.0,CR,27365,WAG7,MU,N,23:42,,Y,BLEY151025074811,Y,C,Valid CC,4177.35,21:15 31-12-25,,,,,10,,,,NDB,MAPD,BRC,WR,JL,BSL,CR,KRIL,TPDDU1392-,E,,,,BOXNHL,,,N,0,58,1,58.0+1.0,SR,42654,WAG9HC,SU,D,14:40,,,DDU 050725123253,Y,C,CC OverDue,0,22:50 02-01-26,
03-01-2026,WR,CR,JL,,,,,SEC,,,WR,,,,,,,,,,,,,,,CR,27772,WAG7,MU,N,,,,,Y,,,,,,,,,11,NOL,WDFC,DFCR,NDB,TCLS,RJT,WR,ICDT,MAS,SR,GIPL,CONCOR-C-89,L,CONT,CONR,CONR,BLC,,,N,45,0,0,45.0+0.0,SW,41273,WAG9HC,SU,N,15:25,,Y,CCJS241024133051,Y,C,Valid CC,2774.5,,
03-01-2026,WR,CR,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,NOL,WDFC,DFCR,NDB,KPRK,ADI,WR,WGCR,R,SEC,IR,WGCR/MOP,L,IMOP,OPIL,OPIL,BCN,,,N,42,0,1,42.0+1.0,NR,33672,WAG9HC,SU,S,16:01,,Y,TPGY270825091142,N,P,Valid Premium,2105.04,22:35 31-12-25,
03-01-2026,WR,CR,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,NDB,DGFJ,BRC,WR,NLOD,WAT,ECO,IR,CWC-R-003-,L,CONT,CWC,NOMA,BLSS,,,N,48,0,0,48.0+0.0,WC,23670,WAG5H,MU,N,17:50,,Y,SMYD220125214946,Y,C,Valid CC,3364,21:15 31-12-25,
03-01-2026,WR,CR,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,,,ECO,,,,,,,,,,,,,,,WC,24422,WAG5H,MU,N,,,,,Y,,,,,
03-01-2026,WR,CR,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,NDB,PDP,BCT,WR,NDL,GNT,SC,APSE,NDN/NDL+TDD,L,FERT,RMPC,RMPC,BCN,"BZA(TDD), GNT(NDL)",21+21,N,42,0,1,42.0+1.0,NC,32635,WAG9H,SU,S,19:10,Y,,BPB 170625070036,N,P,Valid Premium,2646,05:35 02-01-26,
03-01-2026,WR,CR,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,NDB,KBCS,BRC,WR,TDD,BZA,SC,APSE,KBCS/TDD,L,FERT,KRIB,KRIB,BCN,,,N,42,0,1,42.0+1.0,NE,38762,WAG9HC,SU,N,20:01,,Y,DSN 130525170455,N,P,Valid Premium,2650.94,05:35 02-01-26,
03-01-2026,WR,CR,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,JL,BSL,CR,NDB,C,CPT,CPT,JNPT,BB,CR,CONR,PMLP-07-=DOCK,L,CONT,PMLP,PMLP,BLC,,,N,44,1,0,45.0+0.0,ER,38639,WAG9HC,SU,N,23:40,,Y,NHYD270425160031,Y,C,Valid CC,1195.05,19:15 02-01-26,
03-01-2026,WR,CR,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,NDB,NOL,BCT,WR,PALB,NGP,CR,IR,PALB-AD/=08,L,CONT,ADIL,ADIL,BLC,,,N,45,0,1,45.0+1.0,CR,42501,WAG9HC,MU,N,23:42,,Y,PALB160425123839,Y,C,Valid CC,1302.16,,
03-01-2026,WR,CR,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,,,CR,,,,,,,,,,,,,,,CR,42516,WAG9HC,MU,D,,,,,Y,,,,,
03-01-2026,WR,CR,JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,NOL,WDFC,DFCR,NDB,SIOB,ADI,WR,ASLS,BZA,SC,IR,TPDDU1622-,L,CHES,DSRI,ANSL,BOXNHL,,,N,59,0,1,59.0+1.0,WC,31586,WAG9H,SU,N,23:55,,Y,DDU 260925055157,Y,C,Valid CC,4142.08,,
03-01-2026,WR,CR,KNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,INDB,NSPN,RTM,WR,CHM,BCT,WR,ICTI,KRIL-21,L,CONT,DPWR,DPWR,BLC,,,N,45,0,1,45.0+1.0,CR,60431,WAG12B,SU,D,10:00,,Y,MKIG111124102248,Y,C,Valid CC,2984.9,10:30 02-01-26,
03-01-2026,WR,CR,KNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,INDB,SWD,RTM,WR,BSPR,BSP,SEC,HPCS,BA-BZA-TP-10.,E,,,,BCNHL,,,N,0,29,1,29.0+1.0,CR,21970,WCAG1,MU,N,15:07,,,BZA 220425172120,Y,C,Valid CC,0,16:25 30-12-25,
03-01-2026,WR,CR,KNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,,,SEC,,,,,,,,,,,,,,,CR,21976,WCAG1,MU,N,,,,,Y,,,,,
03-01-2026,WR,CR,KNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,INDB,NKR,RTM,WR,BSPR,BSP,SEC,IR,TPDDU1504-,E,,,,BOXNHL,,,N,0,58,1,58.0+1.0,NC,42696,WAG9HC,SU,N,19:20,,,DDU 070825033947,Y,C,Valid CC,0,11:50 03-01-26,
03-01-2026,WR,DFCR,BHET,1,UP,JNPT,BB,CR,PALB,NGP,CR,APSE,PALB-AD/=08,L,CONT,ADIL,ADIL,BLC,,,N,45,0,1,45.0+1.0,CR,42501,WAG9HC,MU,N,15:00,,Y,PALB160425123839,Y,C,Valid CC,1302.16,05:35 02-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,DFCR,BHET,,,,,CR,,,CR,,,,,,,,,,,,,,,CR,42516,WAG9HC,MU,D,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,DFCR,BHET,2,UP,JNPT,BB,CR,CCMP,BPL,WC,CONR,ICDD--CPFS=789,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,CR,31114,WAG9H,SU,D,18:55,,Y,GMC 240525053209,Y,C,Valid CC,1246.88,19:15 02-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,DFCR,BHU,1,UP,FL,JP,NW,GIMB,ADI,WR,IR,FL/E/BCN,E,,,,BCN,,,N,0,42,0,42.0+0.0,WR,49436,WDG4G,SU,N,03:25,,,DSN 060924124126,Y,P,Valid Premium,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,DFCR,BHU,2,UP,LPBP,UMB,NR,PPSP,BVC,WR,IR,NATRAJ-31,E,LPG,,,BTPG,,,N,0,33,2,33.0+2.0,WR,41932,WAG9HC,SU,S,04:00,,,BSL 211125200412,Y,C,Valid CC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,DFCR,BHU,3,UP,MRIK,JP,NW,PRTK,RJT,WR,IR,SAYAJI-31,E,"MS, HSD",,,BTPN,,,N,0,51,0,51.0+0.0,NW,12196,WDG4,SU,N,08:40,,,KRCA230125092302,N,C,Valid CC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,DFCR,BHU,4,UP,JBPI,DLI,NR,PPSP,BVC,WR,ICTI,TXBT--19-,L,CONT,BXTS,BXTS,BLC,,,Y,45,0,1,45.0+1.0,WR,60509,WAG12B,SU,N,13:20,,Y,JUDW281024154654,Y,C,Valid CC,1686.79,10:30 02-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,DFCR,BHU,5,UP,C,CPT,CPT,NCLW,ADI,WR,HPCS,NCLW,L,CONT,NCLC,NCLC,BLC,,,N,45,0,0,45.0+0.0,NR,12894,WDG4,SU,N,17:00,Y,,SMYD160825151914,Y,C,Valid CC,225,16:25 30-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,DFCR,BHU,6,UP,PPV,SPJ,EC,UMB,UMB,NR,IR,BCNE/PPV,E,,,,BCN,,,N,0,42,1,42.0+1.0,NR,49076,WDG4G,SU,N,21:10,,,GY  011125124447,N,P,Invalid Premium,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,DFCR,BHU,7,UP,LCTS,WDFC,DFCR,NRD,ADI,WR,IR,LCTS/NRD,L,CEMT,JK,JK,BCN,,,N,42,0,1,42.0+1.0,NR,43457,WAG9HC,SU,S,23:30,,Y,ED  020825105010,N,P,Valid Premium,2769.4,11:50 03-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2026,WR,DFCR,CECC,1,UP,ARA,DNR,EC,GIMB,ADI,WR,IR,ARA/BCNHL/,E,,,,BCNHL,,,N,0,58,1,58.0+1.0,EC,27007,WAG7,SU,D,00:36,,,STA 211024164907,Y,C,Valid CC,0,,,,,,1,,,,DN,SNLR,ADI,WR,BE,MB,NR,IR,BE/SALT,L,SALT,JKSA,JKSA,BCN,,,N,42,0,1,42.0+1.0,NF,49564,WDG4G,SU,N,00:48,Y,,KTTY250525190626,Y,P,Valid Premium,2626.4,,
03-01-2026,WR,DFCR,CECC,2,UP,CMLK,WDFC,DFCR,MDCC,ADI,WR,CONR,MDCC-J-21H,L,CONT,CONR,CONR,BLC,,,Y,45,0,1,45.0+1.0,WR,49270,WDG4G,SU,N,00:52,,Y,GMC 010325113259,Y,C,Valid CC,2521.58,05:40 02-01-26,,,,,2,,,,DN,SNLR,ADI,WR,CP,SDAH,ER,CONR,CP/SALT,L,SALT,NVSI,NVSI,BCN,,,N,42,0,1,42.0+1.0,WR,32413,WAG9HC,SU,D,01:28,,Y,DSN 230325181812,N,P,Valid Premium,2616,05:40 02-01-26,
03-01-2026,WR,DFCR,CECC,3,UP,CHPG,BSB,NE,UMB,UMB,NR,IR,BCNE/CHPG,E,,,,BCN,,,N,0,42,1,42.0+1.0,NR,43447,WAG9HC,SU,S,04:06,,,GD  190724140911,N,P,Invalid Premium,0,,,,,,3,,,,DN,BPKR,ADI,WR,BPAJ,JP,NW,IR,SAYAJI-02,L,HSD,BPC,BPC,BTPN,,,N,48,2,2,50.0+2.0,WR,13454,WDG3A,SU,N,01:55,,Y,KRCA200525014446,N,C,Valid CC,2611.2,,
03-01-2026,WR,DFCR,CECC,4,UP,HTPP,DLI,NR,MDCC,ADI,WR,HTPL,JWHT-02-,L,CONT,HTPL,HTPL,BLSS,,,Y,45,0,1,45.0+1.0,NE,27269,WAG7,SU,S,05:05,,Y,TKD 220925185013,Y,C,Valid CC,2078.4,13:00 01-01-26,,,,,4,,,,DN,CHIB,ADI,WR,PRNA,KIR,NF,HTPL,PRNA/SALT,L,SALT,WISB,WISB,BCNAHSM1,,,N,42,0,1,42.0+1.0,WR,41909,WAG9HC,SU,S,02:52,Y,,NHYD311224171013,N,P,Valid Premium,2691.8,13:00 01-01-26,
03-01-2026,WR,DFCR,CECC,,,,,NR,,,WR,,,,,,,,,,,,,,,WR,49380,WDG4G,SU,N,,,,,Y,,,,,,,,,5,,,,DN,MDCC,ADI,WR,ICDK,JP,NW,HTPL,R-12H---,L,CONT,CONR,CONR,BLC,,,Y,44,1,1,45.0+1.0,NF,49571,WDG4G,MU,N,03:32,,Y,TICD221125162805,Y,C,Valid CC,2294.17,13:00 01-01-26,
03-01-2026,WR,DFCR,CECC,5,UP,CMLK,WDFC,DFCR,MDCC,ADI,WR,CONR,T-45-ICMB,L,CONT,CONR,CONR,BLC,,,Y,45,0,1,45.0+1.0,WR,49328,WDG4G,SU,N,06:50,,Y,ICDD240725103133,Y,C,Valid CC,2336.33,10:00 02-01-26,,,,,,,,,,,,WR,,,NW,,,,,,,,,,,,,,,NF,49572,WDG4G,MU,N,,,,,Y,,,,,
03-01-2026,WR,DFCR,CECC,6,UP,IBBM,DLI,NR,MDCC,ADI,WR,ADIL,TXBT-02-,L,CONT,BXTS,BXTS,BLC,,,N,45,0,1,45.0+1.0,WC,31199,WAG9HC,MU,S,06:50,,Y,NHYD040519174046,Y,C,Valid CC,811.92,10:45 01-01-26,,,,,6,,,,DN,MDCC,ADI,WR,MATP,DLI,NR,ADIL,TWIL-08-,L,CONT,JKTI,JKTI,BLC,,,Y,45,0,1,45.0+1.0,NR,60002,WAG12B,SU,D,03:32,,Y,ARIK241224151107,Y,C,Valid CC,2103.48,10:45 01-01-26,
03-01-2026,WR,DFCR,CECC,,,,,NR,,,WR,,,,,,,,,,,,,,,WC,31692,WAG9H,MU,S,,,,,Y,,,,,,,,,7,,,,DN,MDCC,ADI,WR,GDGH,DLI,NR,ADIL,GR-19,L,CONT,GRPL,GRPL,BLC,,,Y,45,0,1,45.0+1.0,WC,41754,WAG9HC,MU,S,06:02,,Y,JUDW100725120040,Y,C,Valid CC,2291.86,10:45 01-01-26,
03-01-2026,WR,DFCR,CECC,7,UP,PDLL,DLI,NR,MDCC,ADI,WR,APSE,AD-19-,L,CONT,ADIL,ADIL,BLC,,,N,45,0,1,45.0+1.0,WR,49354,WDG4G,SU,N,07:05,,Y,JUDW231125205106,Y,C,Valid CC,909.21,04:45 02-01-26,,,,,,,,,,,,WR,,,NR,,,,,,,,,,,,,,,WC,42688,WAG9HC,MU,N,,,,,Y,,,,,
03-01-2026,WR,DFCR,CECC,8,UP,DPP,DLI,NR,MDCC,ADI,WR,HTPL,TXHT-09--,L,CONT,HTPL,HTPL,BLSS,,,N,48,0,0,48.0+0.0,WR,49306,WDG4G,SU,N,09:01,,Y,TKD 141125130438,Y,C,Valid CC,2072.44,23:15 31-12-25,,,,,8,,,,DN,CHIB,ADI,WR,AZA,RNY,NF,HTPL,AZA/SALT,L,SALT,CSIP,CSIP,BCN,,,N,42,0,0,42.0+0.0,NW,41720,WAG9HC,SU,D,07:51,Y,,AGS 081125194901,N,P,Valid Premium,2687.8,23:15 31-12-25,
03-01-2026,WR,DFCR,CECC,9,UP,PGFS,FZR,NR,MDCC,ADI,WR,GRFL,GR--12-,L,CONT,GRPL,GRPL,BLC,,,N,45,0,1,45.0+1.0,WR,69061,WDG6G,SU,N,09:01,,Y,JUDW290324152750,Y,C,Valid CC,1485.01,02:40 01-01-26,,,,,9,,,,DN,MDCC,ADI,WR,DWLP,JP,NW,GRFL,TXDP--06-,L,CONT,CRRS,CRRS,BLC,,,Y,45,0,1,45.0+1.0,EC,28288,WAG7,SU,S,08:16,,Y,JUDW161223133738,Y,C,Valid CC,2295.12,02:40 01-01-26,
03-01-2026,WR,DFCR,CECC,10,UP,LPBP,UMB,NR,LPGS,ADI,WR,IR,HAPY-01,E,LPG,,,BTPG,,,N,0,34,1,34.0+1.0,WR,49231,WDG4G,SU,N,09:17,,,HAPA021225123333,Y,C,Valid CC,0,,,,,,10,,,,DN,LPGS,ADI,WR,IOBP,DLI,NR,IR,HAPY-15,L,LPG,IOC,IOC,BTPG,,,N,32,2,1,34.0+1.0,WR,49378,WDG4G,SU,N,09:05,,Y,HAPA280825174526,Y,C,Valid CC,1203.2,,
03-01-2026,WR,DFCR,CECC,11,UP,PDLL,DLI,NR,MDCC,ADI,WR,APSE,AD-23-,L,CONT,ADIL,ADIL,BLC,,,Y,45,0,1,45.0+1.0,EC,38040,WAG9HC,SU,N,09:32,,Y,CEBD070723181209,Y,C,Valid CC,840.25,01:00 01-01-26,,,,,11,,,,DN,MDCC,ADI,WR,IBBM,DLI,NR,APSE,TWHT-12--,L,CONT,HTPL,HTPL,BLC,,,N,45,0,1,45.0+1.0,WR,49365,WDG4G,SU,N,09:45,,Y,JUDW230725130010,Y,C,Valid CC,1278.35,01:00 01-01-26,
03-01-2026,WR,DFCR,CECC,12,UP,GZB,DLI,NR,GIMB,ADI,WR,IR,GZB-EBCN,E,,,,BCN,,,N,0,42,0,42.0+0.0,NE,42097,WAG9HC,SU,S,09:40,,,DSN 131225181149,N,P,Invalid Premium,0,,,,,,12,,,,DN,MDCC,ADI,WR,GDGH,DLI,NR,IR,PGFS,L,CONT,GRPL,GRPL,BLC,,,Y,45,0,1,45.0+1.0,WR,49253,WDG4G,SU,N,10:40,,Y,JUDW230224121811,Y,C,Valid CC,2316.32,,
03-01-2026,WR,DFCR,CECC,13,UP,ICDD,PRYJ,NC,MDCC,ADI,WR,CONR,GS-16-MDCC-/MDCC,L,CONT,CONR,CONR,BLC,,,Y,45,0,1,45.0+1.0,ER,43898,WAG9HC,SU,S,10:04,,Y,ICDD151225200957,Y,C,Valid CC,1926.23,07:00 02-01-26,,,,,13,,,,DN,MDCC,ADI,WR,ICDD,PRYJ,NC,CONR,R-155-H-,L,CONT,CONR,CONR,BLC,,,Y,45,0,1,45.0+1.0,SC,36323,WDS6,SU,N,11:20,,Y,CKYR290925140407,Y,C,Valid CC,2744.37,07:00 02-01-26,
03-01-2026,WR,DFCR,CECC,14,UP,PDLL,DLI,NR,MDCC,ADI,WR,CONR,NIRYAT,L,CONT,ADIL,ADIL,BLC,,,N,45,0,1,45.0+1.0,NR,70869,WDG4D,SU,N,10:30,,Y,FL  190523023831,Y,C,Valid CC,609.11,11:30 02-01-26,,,,,14,,,,DN,IFFG,ADI,WR,PKYN,EDFC,DFCR,CONR,PKYN/FERT,L,FERT,IFFC,IFFC,BCN,,,N,42,0,1,42.0+1.0,NR,49126,WDG4G,SU,N,11:38,,Y,DSN 081125202948,N,P,Valid Premium,2646.7,11:30 02-01-26,
03-01-2026,WR,DFCR,CECC,15,UP,ICDK,JP,NW,MDCC,ADI,WR,CONR,JS-2-MDCC,L,CONT,CONR,CONR,BLC,,,Y,45,0,1,45.0+1.0,WR,49235,WDG4G,SU,N,12:52,,Y,TICD191124145023,Y,C,Valid CC,1921.43,23:55 01-01-26,,,,,15,,,,DN,MDCC,ADI,WR,CMLK,WDFC,DFCR,CONR,R-86H-/-,L,CONT,CONR,CONR,BLC,,,Y,44,1,1,45.0+1.0,WR,24695,WAG7,SU,D,13:20,,Y,TICD110925060028,Y,C,Valid CC,1795.72,23:55 01-01-26,
