MA4 TRAINWISE INTERCHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[  Zone: WR,  DateFrom: 03-01-2026,  DateTo: 03-01-2026,  Gauge: BG,;  TakenOver: 197=233+0;  HandedOver: 185=217+0;  HandedOverCc8Cont: 147;  HandedOverCc6Cont: 11;  TakenOverCc8Cont: 137;  TakenOverCc6Cont: 7 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,ZONE FROM,ZONE TO,IC STTN,TAKEN OVER SR.NO.,TAKEN OVER DRTN,TAKEN OVER STTN FROM,TAKEN OVER DVSN FROM,TAKEN OVER ZONE FROM,TAKEN OVER STTN TO,TAKEN OVER DVSN TO,TAKEN OVER ZONE TO,TAKEN OVER OWNR,TAKEN OVER LOAD NAME,TAKEN OVER L/E,TAKEN OVER CMDT,TAKEN OVER CNSR,TAKEN OVER CNSG,TAKEN OVER TYPE,TAKEN OVER MULTIDSTN DVSN(DSTN),TAKEN OVER MULTIDSTN UNITS,TAKEN OVER DS,TAKEN OVER 8W(L),TAKEN OVER 8W(E),TAKEN OVER 8W(BV),TAKEN OVER TOTL(8W),TAKEN OVER OWNG,TAKEN OVER LOCO,TAKEN OVER LOCO TYPE,TAKEN OVER LOCO UNTS,TAKEN OVER LOCO HRP,TAKEN OVER TIME,TAKEN OVER CC+6,TAKEN OVER CC+8,TAKEN OVER RAKEID,TAKEN OVER TWIN PIPE,TAKEN OVER CTGR,TAKEN OVER EXAM TYPE,TAKEN OVER TONNAGE(in Tonnes),TAKEN OVER LDNG DATE,TAKEN OVER SCHEME CODE,HANDED  OVER INTERCHANGE POINT STATION,HANDED  OVER INTERCHANGE POINT DIVISION,HANDED  OVER INTERCHANGE POINT ZONE,HANDED OVER SR.NO.,TAKEN OVER INTERCHANGE  POINT STATION,TAKEN OVER INTERCHANGE  POINT DIVISION,TAKEN OVER INTERCHANGE  POINT ZONE,HANDED OVER DRTN,HANDED OVER STTN FROM,HANDED OVER DVSN FROM,HANDED OVER ZONE FROM,HANDED OVER STTN TO,HANDED OVER DVSN TO,HANDED OVER ZONE TO,HANDED OVER OWNR,HANDED OVER LOAD NAME,HANDED OVER L/E,HANDED OVER CMDT,HANDED OVER CNSR,HANDED OVER CNSG,HANDED OVER TYPE,HANDED OVER MULTIDSTN DVSN(DSTN),HANDED OVER MULTIDSTN UNITS,HANDED OVER DS,HANDED OVER 8W(L),HANDED OVER 8W(E),HANDED OVER 8W(BV),HANDED OVER TOTL(8W),HANDED OVER OWNG,HANDED OVER LOCO,HANDED OVER LOCO TYPE,HANDED OVER LOCO UNTS,HANDED OVER LOCO HRP,HANDED OVER TIME,HANDED OVER CC+6,HANDED OVER CC+8,HANDED OVER RAKEID,HANDED OVER TWIN PIPE,HANDED OVER CTGR,HANDED OVER EXAM TYPE,HANDED OVER TONNAGE(in Tonnes),HANDED OVER LDNG DATE,HANDED OVER SCHEME CODE
03-01-2026,WR,CR,BSR,,,,,CR,,,CR,,,,,,,,,,,,,,,CR,42516,WAG9HC,MU,D,,,,,Y,,,,,,,,,,,,,,,,WR,,,CR,,,,,,,,,,,,,,,SC,31236,WAG9,MU,N,,,,,Y,,,,,
03-01-2026,WR,CR,BSR,9,KYN,JNPT,BB,CR,ICDY,AGRA,NC,CONR,R-46/MDCCJAB=787,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,EC,38599,WAG9HC,SU,N,09:33,,Y,ICDD040925114226,Y,C,Valid CC,1240.61,17:00 02-01-26,,NAD,KOTA,WC,10,SAH,WDFC,DFCR,KYN,SJP,RTM,WR,IGU,SA,SR,CONR,TORAL=26-,L,DOC,LFIL,LFIL,BCNHL,,,N,46,12,1,58.0+1.0,WC,31194,WAG9,SU,S,13:06,,Y,FL  170525105358,Y,C,Valid CC,2429.48,17:00 02-01-26,
03-01-2026,WR,CR,BSR,10,KYN,JNPT,BB,CR,PIDN,RTM,WR,DLI,DLI-1=DPWR01,L,CONT,DPWR,DPWR,BLC,,,N,45,0,1,45.0+1.0,SC,32669,WAG9HC,SU,N,10:50,,Y,DLIB261224203351,Y,C,Valid CC,207,15:25 02-01-26,,,,,11,,,,KYN,AFAS,BCT,WR,JNPT,BB,CR,DLI,AD-08-,L,CONT,ADIL,ADIL,BLC,,,N,45,0,0,45.0+0.0,WR,32418,WAG9HC,SU,D,13:18,,Y,SMYD300423205120,Y,C,Valid CC,640.69,15:25 02-01-26,
03-01-2026,WR,CR,BSR,11,KYN,JNPT,BB,CR,CGMV,BRC,WR,CONR,-J-30H---=791,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,NE,44052,WAG9HC,SU,S,11:00,,Y,TICD191125080207,Y,C,Valid CC,769.01,19:00 02-01-26,,SAH,WDFC,DFCR,12,,,,KYN,CCTA,BRC,WR,JNPT,BB,CR,CONR,R-90-H-,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,WR,24678,WAG7,SU,D,14:43,,Y,SMYD260925204850,Y,C,Valid CC,1441.16,19:00 02-01-26,
03-01-2026,WR,CR,BSR,12,KYN,JNPT,BB,CR,AFAS,BCT,WR,CN,AFAS/JNPT5-AD06,L,CONT,ADIL,ADIL,BLC,,,N,45,0,1,45.0+1.0,NR,32783,WAG9HC,SU,S,11:45,,Y,KTTW260424162908,Y,C,Valid CC,1610.05,03:20 02-01-26,,,,,13,SJN,WDFC,DFCR,KYN,VCSN,RTM,WR,TMBY,BB,CR,CN,TMBY/VCSN,L,CEMT,UTCL,UTCL,BCN,,,N,42,0,1,42.0+1.0,WR,43786,WAG9HC,SU,S,15:05,,Y,AGS 300825161526,N,P,Valid Premium,2769.4,03:20 02-01-26,
03-01-2026,WR,CR,BSR,13,KYN,JNPT,BB,CR,CCMP,BPL,WC,CONR,ICDD--CPFS=789,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,CR,31114,WAG9H,SU,D,12:02,,Y,GMC 240525053209,Y,C,Valid CC,1246.88,19:15 02-01-26,,SAH,WDFC,DFCR,14,,,,KYN,CGMV,BRC,WR,JNPT,BB,CR,CONR,ASHOKAP-J-1H,L,CONT,CONR,CONR,BLC,,,N,38,2,1,40.0+1.0,EC,38338,WAG9HC,SU,N,17:02,,Y,PCPK171025173222,Y,C,Valid CC,820.7,19:15 02-01-26,
03-01-2026,WR,CR,BSR,14,KYN,JNPT,BB,CR,AFAS,BCT,WR,ADIL,ALIK012-=ADIL10,L,CONT,ADIL,ADIL,BLC,,,N,45,0,1,45.0+1.0,WR,31488,WAG9HC,SU,D,13:14,,Y,ALIK191225121725,Y,C,Valid CC,2267.02,19:00 02-01-26,,SAH,WDFC,DFCR,15,,,,KYN,BOR,BCT,WR,JSWD,BB,CR,ADIL,JSWD-2-,E,,,,BFNV,,,N,0,58,1,58.0+1.0,WR,41430,WAG9HC,SU,D,17:06,,,MJMK080523152355,Y,C,Valid CC,0,19:00 02-01-26,SFTO
03-01-2026,WR,CR,BSR,15,KYN,JNPT,BB,CR,CGMV,BRC,WR,CONR,T-78-H---=797,L,CONT,CONR,CONR,BLC,,,N,45,0,1,45.0+1.0,CR,31074,WAG9HC,SU,N,13:30,,Y,CKYR070225154509,Y,C,Valid CC,772.4,23:45 02-01-26,,SJN,WDFC,DFCR,16,,,,KYN,AFAS,BCT,WR,JNPT,BB,CR,CONR,PLPC-02-,L,CONT,ADIL,ADIL,BLC,,,N,40,0,1,40.0+1.0,WR,41610,WAG9HC,SU,S,17:44,,Y,JUDW300425211157,Y,C,Valid CC,609.59,23:45 02-01-26,
03-01-2026,WR,CR,BSR,16,KYN,PNCS,BB,CR,NCLW,ADI,WR,PMLP,PRIS-07-,L,CONT,NCLC,NCLC,BLC,,,N,45,0,0,45.0+0.0,WC,41782,WAG9HC,MU,S,14:48,,Y,VGLJ220325204545,Y,C,Valid CC,2724.67,04:45 03-01-26,,SJN,WDFC,DFCR,17,,,,KYN,KRCA,BRC,WR,PSHI,SA,SR,PMLP,BRAJ-44FO,L,LDO,IOC,IOC,BTPN,,,N,50,0,2,50.0+2.0,SEC,33187,WAG9HC,SU,N,18:21,,Y,BAD 230725071010,N,C,Valid CC,2718.75,04:45 03-01-26,
03-01-2026,WR,CR,BSR,,,,,CR,,,WR,,,,,,,,,,,,,,,WC,41836,WAG9HC,MU,S,,,,,Y,,,,,,,,,18,,,,KYN,BOR,BCT,WR,DRSV,SUR,CR,PMLP,DRSV+KWV/BCN,L,IMFT,RCF,RCF,BCN,"SUR(DRSV,KWV)",21+20,N,41,0,1,41.0+1.0,NR,32745,WAG9HC,SU,S,18:47,,Y,MVNP090624173635,N,P,Valid Premium,2613.2,04:45 03-01-26,
